order_id,customer_id,product_id,order_date,quantity,revenue,acquisition_channel
O9110,C5071,P1016,2026-07-28,1,275.33,paid_social
O9111,C5054,P1024,2026-07-11,1,27.63,referral
O9112,C5046,P1093,2026-07-19,2,65.14,paid_search
O9113,C5237,P1020,2026-04-01,1,58.64,organic_search
O9114,C5103,P1083,2026-03-30,1,258.93,organic_search
O9115,C5209,P1139,2026-03-22,1,308.3,paid_search
O9116,C5041,P1036,2026-05-08,1,252.55,paid_search
O9117,C5315,P1041,2026-05-02,1,16.01,direct
O9118,C5267,P1144,2026-07-22,1,93.89,organic_search
O9119,C5262,P1100,2026-06-27,1,176.04,direct
O9120,C5258,P1047,2026-07-28,1,28.16,direct
O9121,C5282,P1102,2026-06-26,1,186.72,paid_search
O9122,C5113,P1027,2026-05-27,1,20.69,organic_search
O9123,C5039,P1040,2026-07-21,1,239.7,paid_search
O9124,C5219,P1098,2026-05-27,1,235.47,referral
O9125,C5128,P1046,2025-11-04,1,184.49,direct
O9126,C5007,P1145,2025-12-23,1,149.29,paid_search
O9127,C5100,P1104,2026-05-17,1,320.68,paid_search
O9128,C5175,P1123,2026-01-07,1,115.81,organic_search
O9129,C5106,P1012,2026-07-04,1,155.23,paid_social
O9130,C5100,P1140,2026-06-20,2,438.18,direct
O9131,C5259,P1099,2026-02-21,1,194.7,paid_search
O9132,C5245,P1030,2026-05-21,1,77.57,organic_search
O9133,C5274,P1129,2025-10-31,1,16.86,paid_search
O9134,C5031,P1015,2025-10-20,2,269.88,paid_search
O9135,C5136,P1136,2025-12-31,1,33.34,paid_search
O9136,C5011,P1072,2026-06-21,1,275.57,direct
O9137,C5301,P1053,2026-07-28,1,306.78,paid_search
O9138,C5015,P1099,2026-04-23,2,389.4,paid_search
O9139,C5128,P1108,2026-04-18,1,127.39,direct
O9140,C5062,P1086,2026-07-18,2,279.06,organic_search
O9141,C5108,P1136,2026-04-22,1,33.34,referral
O9142,C5020,P1007,2026-05-22,1,136.0,email
O9143,C5157,P1006,2026-06-21,1,264.1,referral
O9144,C5268,P1035,2026-06-03,1,172.43,organic_search
O9145,C5161,P1017,2026-07-25,1,17.75,paid_search
O9146,C5259,P1002,2026-03-05,1,179.75,paid_search
O9147,C5101,P1027,2026-06-16,2,41.38,referral
O9148,C5222,P1069,2026-05-17,1,479.32,referral
O9149,C5058,P1148,2025-11-20,1,154.79,paid_search
O9150,C5246,P1027,2026-06-23,1,20.69,paid_search
O9151,C5127,P1053,2026-02-26,1,306.78,paid_search
O9152,C5282,P1064,2026-07-02,1,64.91,organic_search
O9153,C5024,P1099,2026-07-31,1,194.7,referral
O9154,C5130,P1020,2026-07-18,1,58.64,email
O9155,C5195,P1012,2025-09-20,2,310.46,paid_social
O9156,C5280,P1056,2026-03-20,2,235.26,referral
O9157,C5153,P1048,2026-07-26,1,29.48,organic_search
O9158,C5132,P1117,2026-03-01,1,107.2,direct
O9159,C5226,P1053,2026-07-04,1,306.78,organic_search
O9160,C5188,P1137,2025-12-24,3,654.66,paid_social
O9161,C5264,P1052,2026-07-22,2,679.86,paid_search
O9162,C5133,P1043,2026-07-18,1,365.97,organic_search
O9163,C5210,P1046,2026-07-16,1,184.49,organic_search
O9164,C5059,P1052,2026-07-04,1,339.93,paid_social
O9165,C5212,P1073,2026-06-28,1,173.17,organic_search
O9166,C5215,P1045,2026-07-31,1,162.66,paid_search
O9167,C5225,P1012,2026-06-23,1,155.23,email
O9168,C5130,P1101,2026-07-18,1,78.31,paid_search
O9169,C5075,P1023,2026-07-09,1,206.04,organic_search
O9170,C5285,P1001,2026-06-01,1,353.21,direct
O9171,C5276,P1080,2026-07-23,1,141.68,organic_search
O9172,C5155,P1099,2026-07-26,1,194.7,paid_search
O9173,C5247,P1141,2026-06-26,2,177.78,paid_search
O9174,C5217,P1137,2026-07-12,1,218.22,direct
O9175,C5189,P1130,2025-11-19,1,179.7,paid_search
O9176,C5162,P1110,2026-07-03,1,135.17,paid_search
O9177,C5179,P1101,2026-04-19,2,156.62,paid_search
O9178,C5033,P1016,2026-05-16,2,550.66,paid_search
O9179,C5040,P1011,2026-07-22,2,451.68,referral
O9180,C5306,P1115,2026-01-12,1,118.55,paid_social
O9181,C5313,P1023,2026-07-30,1,206.04,paid_social
O9182,C5074,P1028,2026-06-13,1,51.64,organic_search
O9183,C5278,P1121,2026-07-22,1,358.36,email
O9184,C5175,P1089,2026-06-18,1,24.49,paid_search
O9185,C5149,P1064,2026-05-18,1,64.91,referral
O9186,C5272,P1083,2026-02-11,1,258.93,organic_search
O9187,C5107,P1118,2026-04-13,1,321.26,direct
O9188,C5138,P1015,2026-07-03,1,134.94,email
O9189,C5270,P1103,2026-06-14,1,20.47,direct
O9190,C5288,P1091,2026-02-10,1,165.38,organic_search
O9191,C5211,P1026,2026-01-29,1,121.75,paid_search
O9192,C5271,P1133,2026-02-15,1,285.32,paid_social
O9193,C5065,P1134,2026-02-28,1,305.1,email
O9194,C5247,P1032,2026-05-27,2,553.2,direct
O9195,C5155,P1054,2026-07-22,2,107.72,direct
O9196,C5046,P1006,2026-07-12,1,264.1,direct
O9197,C5200,P1056,2025-11-30,1,117.63,direct
O9198,C5147,P1125,2026-01-15,1,334.21,organic_search
O9199,C5123,P1011,2026-04-19,1,225.84,paid_social
O9200,C5000,P1015,2026-04-21,1,134.94,organic_search
O9201,C5246,P1042,2026-06-02,1,153.0,direct
O9202,C5127,P1116,2026-01-23,1,75.12,email
O9203,C5190,P1134,2026-06-20,1,305.1,paid_search
O9204,C5066,P1110,2025-10-15,2,270.34,paid_social
O9205,C5003,P1050,2026-05-10,1,303.1,organic_search
O9206,C5302,P1074,2026-06-19,1,223.43,direct
O9207,C5293,P1007,2026-01-18,1,136.0,direct
O9208,C5142,P1044,2026-07-11,2,278.76,referral
O9209,C5190,P1058,2026-07-22,1,260.49,organic_search
O9210,C5020,P1131,2026-06-20,1,84.98,paid_search
O9211,C5226,P1103,2025-12-14,1,20.47,paid_social
O9212,C5312,P1097,2026-06-21,1,209.05,paid_search
O9213,C5116,P1078,2026-07-22,1,287.28,paid_search
O9214,C5301,P1123,2026-07-31,1,115.81,paid_search
O9215,C5141,P1003,2026-06-27,1,72.95,email
O9216,C5038,P1089,2026-07-12,1,24.49,paid_search
O9217,C5251,P1103,2025-09-15,1,20.47,email
O9218,C5206,P1136,2026-07-25,1,33.34,organic_search
O9219,C5209,P1118,2026-07-12,1,321.26,organic_search
O9220,C5114,P1132,2026-06-13,1,287.25,direct
O9221,C5224,P1055,2026-06-05,1,217.0,organic_search
O9222,C5133,P1095,2026-06-10,2,66.34,paid_search
O9223,C5250,P1074,2026-05-28,1,223.43,organic_search
O9224,C5218,P1142,2025-09-14,3,50.79,organic_search
O9225,C5090,P1031,2026-06-06,2,180.18,referral
O9226,C5045,P1027,2026-05-25,1,20.69,email
O9227,C5037,P1021,2026-06-23,1,115.01,organic_search
O9228,C5141,P1016,2026-03-19,2,550.66,direct
O9229,C5099,P1058,2026-07-03,1,260.49,organic_search
O9230,C5189,P1089,2026-06-01,1,24.49,referral
O9231,C5034,P1105,2026-07-26,1,81.1,organic_search
O9232,C5146,P1025,2026-02-27,1,108.39,organic_search
O9233,C5029,P1024,2026-07-26,2,55.26,paid_search
O9234,C5083,P1137,2026-03-03,3,654.66,paid_search
O9235,C5280,P1044,2026-04-01,1,139.38,organic_search
O9236,C5269,P1082,2026-05-19,1,322.71,organic_search
O9237,C5153,P1010,2026-04-24,1,211.21,paid_search
O9238,C5101,P1103,2026-06-01,3,61.41,direct
O9239,C5214,P1067,2026-07-12,1,126.91,organic_search
O9240,C5149,P1094,2026-06-12,1,117.14,paid_search
O9241,C5082,P1064,2026-07-30,1,64.91,email
O9242,C5109,P1048,2026-03-30,1,29.48,paid_search
O9243,C5274,P1051,2026-01-11,1,158.81,direct
O9244,C5200,P1101,2026-06-16,1,78.31,direct
O9245,C5283,P1056,2026-01-15,1,117.63,organic_search
O9246,C5172,P1046,2026-07-15,1,184.49,organic_search
O9247,C5205,P1025,2026-06-05,1,108.39,paid_search
O9248,C5062,P1113,2025-09-12,1,92.13,paid_social
O9249,C5072,P1004,2026-07-16,2,555.8,referral
O9250,C5250,P1083,2026-06-26,1,258.93,direct
O9251,C5123,P1051,2026-06-11,1,158.81,paid_social
O9252,C5120,P1104,2025-10-20,1,320.68,email
O9253,C5274,P1053,2025-11-30,2,613.56,direct
O9254,C5119,P1014,2026-07-25,1,116.46,organic_search
O9255,C5316,P1060,2026-05-12,2,685.0,organic_search
O9256,C5163,P1121,2025-10-16,2,716.72,paid_search
O9257,C5285,P1020,2026-07-27,1,58.64,paid_social
O9258,C5264,P1045,2026-07-22,1,162.66,direct
O9259,C5319,P1133,2026-03-21,1,285.32,paid_search
O9260,C5160,P1037,2025-09-20,1,184.22,organic_search
O9261,C5307,P1061,2026-07-24,2,242.58,paid_social
O9262,C5088,P1085,2026-05-16,1,180.97,direct
O9263,C5141,P1077,2026-02-15,1,206.26,organic_search
O9264,C5202,P1045,2026-05-15,3,487.98,organic_search
O9265,C5308,P1140,2026-06-05,1,219.09,paid_search
O9266,C5226,P1002,2026-04-29,1,179.75,direct
O9267,C5221,P1005,2026-07-08,1,277.97,direct
O9268,C5040,P1092,2026-07-23,1,204.84,organic_search
O9269,C5195,P1007,2026-03-08,1,136.0,organic_search
O9270,C5067,P1107,2026-05-11,1,164.01,paid_search
O9271,C5263,P1074,2026-03-08,1,223.43,organic_search
O9272,C5001,P1076,2026-04-07,1,187.18,email
O9273,C5124,P1049,2026-07-04,2,159.26,direct
O9274,C5109,P1010,2025-10-15,2,422.42,referral
O9275,C5085,P1094,2026-06-21,1,117.14,organic_search
O9276,C5119,P1069,2026-05-06,1,479.32,direct
O9277,C5126,P1015,2026-07-13,1,134.94,direct
O9278,C5254,P1067,2026-01-06,1,126.91,direct
O9279,C5182,P1098,2026-06-25,2,470.94,paid_search
O9280,C5015,P1047,2025-12-25,1,28.16,paid_search
O9281,C5061,P1063,2026-05-16,1,240.47,direct
O9282,C5157,P1089,2026-04-01,1,24.49,direct
O9283,C5267,P1075,2026-07-30,1,91.82,direct
O9284,C5034,P1138,2025-11-09,1,144.73,referral
O9285,C5266,P1100,2026-07-13,1,176.04,direct
O9286,C5063,P1088,2025-12-09,1,82.13,referral
O9287,C5049,P1017,2026-04-12,2,35.5,email
O9288,C5254,P1018,2026-02-13,1,192.27,direct
O9289,C5148,P1054,2026-05-04,1,53.86,organic_search
O9290,C5303,P1101,2026-06-03,1,78.31,referral
O9291,C5275,P1117,2026-02-17,2,214.4,organic_search
O9292,C5171,P1133,2026-03-26,2,570.64,direct
O9293,C5200,P1003,2026-06-19,1,72.95,organic_search
O9294,C5034,P1107,2025-12-17,1,164.01,paid_search
O9295,C5215,P1114,2026-07-07,1,60.01,organic_search
O9296,C5064,P1028,2026-06-14,1,51.64,referral
O9297,C5007,P1058,2026-04-20,2,520.98,paid_social
O9298,C5300,P1124,2026-06-11,1,144.84,organic_search
O9299,C5075,P1097,2026-04-30,1,209.05,paid_search
O9300,C5173,P1016,2026-01-17,1,275.33,organic_search
O9301,C5046,P1106,2026-07-16,1,221.14,organic_search
O9302,C5014,P1042,2026-07-10,1,153.0,organic_search
O9303,C5146,P1079,2026-01-04,1,282.36,direct
O9304,C5025,P1007,2025-12-20,1,136.0,direct
O9305,C5307,P1140,2026-07-24,1,219.09,organic_search
O9306,C5092,P1105,2025-11-25,1,81.1,direct
O9307,C5231,P1007,2026-07-17,1,136.0,organic_search
O9308,C5020,P1095,2026-05-01,2,66.34,organic_search
O9309,C5306,P1093,2026-02-14,1,32.57,direct
O9310,C5037,P1064,2026-05-09,1,64.91,organic_search
O9311,C5275,P1038,2026-06-09,1,163.59,referral
O9312,C5156,P1080,2026-03-19,1,141.68,organic_search
O9313,C5178,P1083,2026-06-30,1,258.93,referral
O9314,C5131,P1087,2026-04-28,1,89.51,email
O9315,C5310,P1085,2025-09-26,1,180.97,email
O9316,C5027,P1092,2026-07-16,2,409.68,paid_search
O9317,C5259,P1085,2026-06-27,1,180.97,organic_search
O9318,C5075,P1043,2026-02-25,1,365.97,direct
O9319,C5066,P1136,2025-11-04,1,33.34,organic_search
O9320,C5193,P1073,2026-07-05,1,173.17,paid_social
O9321,C5161,P1035,2026-07-19,1,172.43,organic_search
O9322,C5256,P1100,2026-04-12,1,176.04,paid_social
O9323,C5071,P1103,2026-07-21,1,20.47,organic_search
O9324,C5086,P1065,2026-07-11,1,15.22,organic_search
O9325,C5261,P1054,2026-07-12,1,53.86,email
O9326,C5213,P1090,2026-04-20,1,149.98,paid_search
O9327,C5152,P1021,2026-06-09,2,230.02,organic_search
O9328,C5209,P1100,2026-05-17,1,176.04,referral
O9329,C5060,P1120,2026-04-09,1,173.57,direct
O9330,C5267,P1092,2026-07-08,1,204.84,organic_search
O9331,C5261,P1107,2026-07-17,1,164.01,paid_search
O9332,C5217,P1140,2026-07-25,1,219.09,email
O9333,C5282,P1009,2026-07-12,1,178.8,paid_social
O9334,C5135,P1008,2026-03-29,2,168.12,organic_search
O9335,C5092,P1033,2026-05-04,1,198.15,organic_search
O9336,C5108,P1128,2026-06-24,1,121.58,email
O9337,C5240,P1088,2026-07-26,1,82.13,direct
O9338,C5141,P1092,2025-10-25,1,204.84,direct
O9339,C5290,P1070,2026-06-23,1,193.38,organic_search
O9340,C5236,P1066,2026-06-23,1,216.44,organic_search
O9341,C5311,P1147,2026-07-18,1,21.13,direct
O9342,C5176,P1116,2026-06-13,1,75.12,paid_social
O9343,C5140,P1093,2025-12-07,1,32.57,direct
O9344,C5188,P1098,2026-03-11,1,235.47,paid_search
O9345,C5048,P1112,2026-01-16,2,794.24,organic_search
O9346,C5301,P1102,2026-07-30,1,186.72,referral
O9347,C5189,P1090,2026-07-11,1,149.98,organic_search
O9348,C5135,P1089,2026-07-09,1,24.49,organic_search
O9349,C5042,P1016,2026-07-21,1,275.33,organic_search
O9350,C5089,P1017,2026-07-14,2,35.5,referral
O9351,C5294,P1115,2026-05-17,1,118.55,direct
O9352,C5244,P1092,2026-04-18,2,409.68,organic_search
O9353,C5191,P1090,2026-07-19,2,299.96,referral
O9354,C5317,P1081,2026-01-06,1,86.22,paid_search
O9355,C5105,P1067,2026-07-30,1,126.91,paid_search
O9356,C5309,P1113,2026-06-07,1,92.13,organic_search
O9357,C5232,P1000,2025-11-20,1,242.23,organic_search
O9358,C5264,P1057,2026-07-16,1,148.06,organic_search
O9359,C5036,P1108,2026-03-20,1,127.39,paid_search
O9360,C5304,P1147,2025-12-07,1,21.13,email
O9361,C5040,P1115,2026-07-22,1,118.55,organic_search
O9362,C5016,P1086,2026-06-12,1,139.53,paid_social
O9363,C5276,P1009,2026-05-17,1,178.8,organic_search
O9364,C5306,P1058,2026-07-17,2,520.98,referral
O9365,C5058,P1040,2026-04-09,1,239.7,organic_search
O9366,C5182,P1104,2026-06-24,1,320.68,organic_search
O9367,C5040,P1132,2026-04-20,2,574.5,organic_search
O9368,C5038,P1121,2026-06-16,2,716.72,paid_search
O9369,C5191,P1144,2026-06-15,1,93.89,organic_search
O9370,C5266,P1021,2026-02-16,1,115.01,direct
O9371,C5146,P1097,2026-07-14,1,209.05,organic_search
O9372,C5126,P1067,2026-04-20,1,126.91,organic_search
O9373,C5045,P1138,2026-06-01,1,144.73,organic_search
O9374,C5044,P1055,2026-07-10,1,217.0,direct
O9375,C5000,P1148,2026-05-19,2,309.58,organic_search
O9376,C5167,P1098,2026-05-07,1,235.47,direct
O9377,C5107,P1075,2026-07-02,1,91.82,organic_search
O9378,C5018,P1025,2026-07-16,2,216.78,referral
O9379,C5071,P1114,2026-02-23,1,60.01,organic_search
O9380,C5108,P1146,2026-04-17,1,51.96,referral
O9381,C5267,P1108,2026-07-06,1,127.39,direct
O9382,C5239,P1046,2026-04-26,1,184.49,organic_search
O9383,C5300,P1070,2026-06-03,1,193.38,email
O9384,C5089,P1039,2026-04-03,1,258.7,organic_search
O9385,C5102,P1132,2026-01-21,1,287.25,paid_social
O9386,C5249,P1148,2026-05-03,3,464.37,paid_search
O9387,C5007,P1131,2026-05-02,1,84.98,paid_search
O9388,C5152,P1022,2026-03-05,1,115.73,organic_search
O9389,C5173,P1105,2026-06-24,1,81.1,organic_search
O9390,C5157,P1083,2026-07-18,1,258.93,organic_search
O9391,C5214,P1142,2026-07-20,2,33.86,organic_search
O9392,C5176,P1115,2026-02-20,1,118.55,paid_search
O9393,C5174,P1108,2026-03-06,1,127.39,organic_search
O9394,C5145,P1135,2026-02-19,1,294.16,email
O9395,C5160,P1040,2025-12-17,1,239.7,organic_search
O9396,C5126,P1111,2026-06-08,2,255.4,organic_search
O9397,C5081,P1146,2026-07-31,1,51.96,paid_search
O9398,C5146,P1111,2026-03-11,1,127.7,organic_search
O9399,C5238,P1102,2026-02-10,1,186.72,organic_search
O9400,C5083,P1045,2026-05-18,1,162.66,referral
O9401,C5112,P1067,2026-05-06,1,126.91,paid_search
O9402,C5224,P1121,2026-05-30,2,716.72,direct
O9403,C5242,P1014,2026-07-22,1,116.46,email
O9404,C5142,P1128,2026-05-22,1,121.58,organic_search
O9405,C5040,P1110,2026-06-10,1,135.17,paid_search
O9406,C5257,P1023,2026-07-15,1,206.04,organic_search
O9407,C5284,P1026,2026-05-28,1,121.75,organic_search
O9408,C5104,P1039,2026-03-05,2,517.4,organic_search
O9409,C5201,P1023,2026-04-19,2,412.08,paid_search
O9410,C5306,P1023,2026-01-24,2,412.08,direct
O9411,C5265,P1003,2026-06-19,1,72.95,organic_search
O9412,C5209,P1066,2026-02-01,1,216.44,organic_search
O9413,C5050,P1033,2026-02-17,2,396.3,referral
O9414,C5117,P1115,2026-04-21,1,118.55,organic_search
O9415,C5200,P1022,2026-01-26,1,115.73,direct
O9416,C5038,P1108,2026-05-24,1,127.39,referral
O9417,C5027,P1068,2026-05-17,3,438.87,organic_search
O9418,C5258,P1094,2026-07-31,1,117.14,paid_search
O9419,C5083,P1061,2026-02-13,1,121.29,organic_search
O9420,C5154,P1056,2026-05-13,1,117.63,paid_social
O9421,C5116,P1053,2026-07-15,1,306.78,paid_search
O9422,C5001,P1069,2026-06-05,2,958.64,referral
O9423,C5092,P1100,2026-02-19,1,176.04,paid_search
O9424,C5165,P1056,2026-06-03,1,117.63,referral
O9425,C5295,P1137,2026-07-01,1,218.22,direct
O9426,C5257,P1134,2026-07-21,1,305.1,referral
O9427,C5080,P1102,2026-04-10,1,186.72,organic_search
O9428,C5267,P1084,2026-07-09,1,225.74,organic_search
O9429,C5234,P1060,2026-07-09,1,342.5,referral
O9430,C5310,P1002,2026-01-17,2,359.5,organic_search
O9431,C5300,P1127,2026-06-08,1,142.5,organic_search
O9432,C5212,P1085,2026-07-04,1,180.97,organic_search
O9433,C5061,P1046,2026-01-15,2,368.98,organic_search
O9434,C5048,P1075,2026-03-21,1,91.82,organic_search
O9435,C5126,P1037,2026-02-28,2,368.44,direct
O9436,C5222,P1140,2026-07-24,2,438.18,referral
O9437,C5278,P1086,2026-01-19,1,139.53,organic_search
O9438,C5293,P1057,2025-12-20,1,148.06,paid_search
O9439,C5283,P1049,2025-12-25,1,79.63,organic_search
O9440,C5276,P1029,2026-01-05,1,197.29,paid_search
O9441,C5106,P1100,2026-07-25,1,176.04,direct
O9442,C5145,P1024,2026-02-18,1,27.63,paid_search
O9443,C5098,P1111,2026-06-14,1,127.7,organic_search
O9444,C5072,P1125,2026-07-24,1,334.21,organic_search
O9445,C5121,P1122,2026-07-21,1,202.99,organic_search
O9446,C5029,P1046,2026-07-01,1,184.49,organic_search
O9447,C5187,P1117,2026-01-02,1,107.2,organic_search
O9448,C5287,P1038,2026-06-16,1,163.59,direct
O9449,C5194,P1015,2026-01-22,1,134.94,organic_search
O9450,C5155,P1021,2026-04-05,1,115.01,direct
O9451,C5171,P1053,2026-06-24,2,613.56,direct
O9452,C5040,P1148,2026-06-12,1,154.79,paid_search
O9453,C5062,P1015,2026-02-20,1,134.94,paid_search
O9454,C5022,P1058,2026-06-03,1,260.49,organic_search
O9455,C5074,P1030,2026-05-15,1,77.57,paid_social
O9456,C5047,P1031,2026-03-19,1,90.09,direct
O9457,C5159,P1008,2026-05-22,1,84.06,paid_search
O9458,C5312,P1138,2026-06-09,1,144.73,organic_search
O9459,C5117,P1009,2026-07-20,2,357.6,direct
O9460,C5099,P1016,2026-05-19,1,275.33,referral
O9461,C5166,P1067,2026-05-18,1,126.91,email
O9462,C5289,P1047,2026-07-22,1,28.16,organic_search
O9463,C5155,P1110,2025-12-24,1,135.17,organic_search
O9464,C5006,P1122,2026-07-08,1,202.99,direct
O9465,C5195,P1148,2026-07-14,2,309.58,referral
O9466,C5055,P1100,2026-07-07,1,176.04,paid_search
O9467,C5192,P1101,2025-09-28,1,78.31,organic_search
O9468,C5046,P1064,2026-06-17,1,64.91,paid_search
O9469,C5147,P1050,2026-01-21,1,303.1,organic_search
O9470,C5274,P1035,2026-03-23,3,517.29,organic_search
O9471,C5156,P1080,2025-10-21,1,141.68,paid_search
O9472,C5201,P1126,2026-01-04,1,93.83,organic_search
O9473,C5125,P1087,2026-04-15,1,89.51,direct
O9474,C5304,P1103,2026-05-17,1,20.47,direct
O9475,C5293,P1014,2026-03-03,3,349.38,direct
O9476,C5063,P1095,2026-05-06,1,33.17,paid_search
