product_id,category,brand,vehicle_type,price,cost,stock,oem_reference
P1082,Engine Parts,TrailForce,4x4 SUV,322.71,171.01,19,OEM-344098
P1083,Suspension,RockGuard,Compact SUV,258.93,128.97,112,OEM-205907
P1084,Engine Parts,RockGuard,Van,225.74,131.68,139,OEM-498591
P1085,Engine Parts,ProFit,Van,180.97,95.65,46,OEM-391476
P1086,Body & Exterior,OEM-Line,Van,139.53,80.03,0,OEM-575435
P1087,Lighting,NorthTrail,Compact SUV,89.51,49.75,89,OEM-766563
P1088,Cooling System,Bilstein-Type,Van,82.13,48.0,141,OEM-974628
P1089,Filters,Bilstein-Type,Compact SUV,24.49,13.28,319,OEM-482554
P1090,Suspension,OEM-Line,Van,149.98,91.56,37,OEM-270555
P1091,Body & Exterior,OEM-Line,Off-Road Buggy,165.38,81.27,292,OEM-488162
P1092,Body & Exterior,ProFit,Van,204.84,124.99,381,OEM-472528
P1093,Filters,ProFit,Compact SUV,32.57,17.74,138,OEM-319684
P1094,Body & Exterior,OEM-Line,Pickup Truck,117.14,76.27,355,OEM-802729
P1095,Filters,TrailForce,Van,33.17,18.86,332,OEM-379946
P1096,Filters,ProFit,Pickup Truck,26.22,17.67,490,OEM-835911
P1097,Engine Parts,DuraParts,Off-Road Buggy,209.05,123.01,258,OEM-816751
P1098,Suspension,ProFit,4x4 SUV,235.47,118.08,160,OEM-779514
P1099,Suspension,Bilstein-Type,Off-Road Buggy,194.7,124.42,389,OEM-174870
P1100,Suspension,ProFit,Van,176.04,93.19,177,OEM-738720
P1101,Lighting,TrailForce,Pickup Truck,78.31,41.5,9,OEM-765822
P1102,Engine Parts,OEM-Line,Pickup Truck,186.72,85.39,260,OEM-279451
P1103,Filters,Bilstein-Type,Compact SUV,20.47,11.79,406,OEM-660086
P1104,Transmission,ProFit,Pickup Truck,320.68,183.72,137,OEM-864544
P1105,Braking System,TrailForce,Compact SUV,81.1,43.14,171,OEM-356702
P1106,Engine Parts,DuraParts,4x4 SUV,221.14,144.99,385,OEM-271339
P1107,Body & Exterior,ProFit,Van,164.01,78.66,12,OEM-584714
P1108,Braking System,TrailForce,Compact SUV,127.39,67.0,167,OEM-497887
P1109,Suspension,DuraParts,4x4 SUV,246.1,128.95,129,OEM-383060
P1110,Braking System,OEM-Line,Pickup Truck,135.17,63.7,83,OEM-771088
P1111,Braking System,ProFit,Pickup Truck,127.7,71.6,320,OEM-821590
P1112,Transmission,DuraParts,4x4 SUV,397.12,241.52,318,OEM-684004
P1113,Cooling System,Bilstein-Type,Pickup Truck,92.13,52.3,100,OEM-330283
P1114,Lighting,OEM-Line,4x4 SUV,60.01,29.17,328,OEM-817870
P1115,Cooling System,Bilstein-Type,Compact SUV,118.55,63.63,272,OEM-440035
P1116,Cooling System,RockGuard,Compact SUV,75.12,33.85,264,OEM-983794
P1117,Braking System,Brembo-Style,4x4 SUV,107.2,69.65,458,OEM-905635
P1118,Transmission,ProFit,Compact SUV,321.26,150.81,398,OEM-913694
P1119,Filters,DuraParts,Compact SUV,30.85,18.12,407,OEM-158655
P1120,Cooling System,Brembo-Style,Compact SUV,173.57,117.48,37,OEM-340174
P1121,Transmission,Brembo-Style,Off-Road Buggy,358.36,205.49,418,OEM-961722
P1122,Engine Parts,DuraParts,Van,202.99,134.49,93,OEM-133659
P1123,Suspension,OEM-Line,Pickup Truck,115.81,58.4,94,OEM-944151
P1124,Braking System,ProFit,Off-Road Buggy,144.84,90.49,304,OEM-430776
P1125,Engine Parts,RockGuard,Compact SUV,334.21,191.23,68,OEM-520651
P1126,Cooling System,Bilstein-Type,4x4 SUV,93.83,57.77,317,OEM-380746
P1127,Cooling System,TrailForce,Compact SUV,142.5,66.17,443,OEM-169403
P1128,Suspension,Bilstein-Type,Van,121.58,58.84,235,OEM-321231
P1129,Filters,TrailForce,Compact SUV,16.86,8.1,433,OEM-694731
P1130,Engine Parts,Bilstein-Type,4x4 SUV,179.7,109.27,333,OEM-852787
P1131,Braking System,DuraParts,Van,84.98,54.75,372,OEM-429963
P1132,Suspension,RockGuard,Compact SUV,287.25,178.79,375,OEM-322955
P1133,Engine Parts,ProFit,Van,285.32,130.39,458,OEM-787277
P1134,Transmission,TrailForce,Pickup Truck,305.1,198.15,136,OEM-623481
P1135,Engine Parts,ProFit,Pickup Truck,294.16,156.33,417,OEM-514850
P1136,Filters,ProFit,Compact SUV,33.34,18.05,75,OEM-774079
P1137,Body & Exterior,ProFit,Van,218.22,103.46,482,OEM-581141
P1138,Engine Parts,NorthTrail,4x4 SUV,144.73,89.68,34,OEM-249811
P1139,Transmission,OEM-Line,Compact SUV,308.3,151.66,0,OEM-377746
P1140,Transmission,Bilstein-Type,Pickup Truck,219.09,127.01,295,OEM-246413
P1141,Braking System,ProFit,Pickup Truck,88.89,57.19,319,OEM-358607
P1142,Filters,Bilstein-Type,Compact SUV,16.93,7.97,405,OEM-881177
P1143,Engine Parts,ProFit,Van,274.31,157.21,59,OEM-688637
P1144,Braking System,TrailForce,Pickup Truck,93.89,47.29,319,OEM-665158
P1145,Suspension,OEM-Line,Van,149.29,78.96,348,OEM-375504
P1146,Lighting,OEM-Line,Pickup Truck,51.96,29.05,327,OEM-883300
P1147,Filters,DuraParts,Pickup Truck,21.13,11.23,266,OEM-712982
P1148,Suspension,NorthTrail,Off-Road Buggy,154.79,92.75,360,OEM-549245
P1149,Braking System,DuraParts,Pickup Truck,100.06,56.06,228,OEM-711878
